駅名,運営会社,路線名,鉄道区分,事業者種別,重複コード2019,データ有無コード2019,備考2019,乗降客数2019
二月田,九州旅客鉄道,指宿枕崎線,11,2,1,1,,690
古島,沖縄都市モノレール,沖縄都市モノレール線,23,5,1,1,,5143
お台場海浜公園,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,16899
東京国際クルーズターミナル,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,3191
テレコムセンター,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,12140
汐留,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,8755
台場,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,21421
有明,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,5818
東京ビッグサイト,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,16690
新橋,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,63123
竹芝,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,4508
芝浦ふ頭,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,5090
日の出,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,2322
青海,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,11884
新豊洲,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,6796
市場前,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,11393
有明テニスの森,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,5022
豊洲,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,28916
新石切,近畿日本鉄道,けいはんな線,21,4,1,1,,18240
長田,近畿日本鉄道,けいはんな線,21,4,1,1,,0
吉田,近畿日本鉄道,けいはんな線,21,4,1,1,,15369
荒本,近畿日本鉄道,けいはんな線,21,4,1,1,,16277
生駒,近畿日本鉄道,けいはんな線,12,4,2,1,,0
学研奈良登美ヶ丘,近畿日本鉄道,けいはんな線,12,4,1,1,,14165
白庭台,近畿日本鉄道,けいはんな線,12,4,1,1,,9339
学研北生駒,近畿日本鉄道,けいはんな線,12,4,1,1,,6419
ポートターミナル,神戸新交通,ポートアイランド線,16,5,1,1,,835
中埠頭,神戸新交通,ポートアイランド線,16,5,1,1,,3215
市民広場,神戸新交通,ポートアイランド線,24,5,1,1,,14859
貿易センター,神戸新交通,ポートアイランド線,24,5,1,1,,3515
三宮,神戸新交通,ポートアイランド線,24,5,1,1,,73323
北埠頭,神戸新交通,ポートアイランド線,16,5,1,1,,1648
南公園,神戸新交通,ポートアイランド線,16,5,1,1,,5299
みなとじま,神戸新交通,ポートアイランド線,24,5,1,1,,16121
中公園,神戸新交通,ポートアイランド線,16,5,1,1,,8262
医療センター,神戸新交通,ポートアイランド線,24,5,1,1,,15029
京コンピュータ前,神戸新交通,ポートアイランド線,24,5,1,1,,4535
神戸空港,神戸新交通,ポートアイランド線,24,5,1,1,,7095
岩瀬浜,富山地方鉄道,富山港線,12,4,1,1,,691
競輪場前,富山地方鉄道,富山港線,12,4,1,1,,168
東岩瀬,富山地方鉄道,富山港線,12,4,1,1,,363
インテック本社前,富山地方鉄道,富山港線,21,4,1,1,,321
萩浦小学校前,富山地方鉄道,富山港線,12,4,1,1,改称,384
蓮町（馬場記念公園前）,富山地方鉄道,富山港線,12,4,1,1,改称,1074
犬島新町,富山地方鉄道,富山港線,12,4,1,1,,341
城川原,富山地方鉄道,富山港線,12,4,1,1,,675
越中中島,富山地方鉄道,富山港線,12,4,1,1,,381
粟島（大阪屋ショップ前）,富山地方鉄道,富山港線,12,4,1,1,,618
下奥井,富山地方鉄道,富山港線,12,4,1,1,,414
奥田中学校前,富山地方鉄道,富山港線,12,4,1,1,,366
富山駅,富山地方鉄道,富山港線,21,4,1,1,改称,3198
盛岡,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,11290
御堂,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,58
二戸,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,694
小鳥谷,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,98
渋民,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,659
斗米,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,136
いわて沼宮内,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,850
厨川,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,3111
岩手川口,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,269
一戸,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,543
金田一温泉,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,205
滝沢,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,3044
小繋,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,7
奥中山高原,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,329
目時,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,0
好摩,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,1764
青山,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,3375
巣子,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,1001
巣子,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,2,1,,0
上総中野,いすみ鉄道,いすみ線,12,5,1,1,,0
大多喜,いすみ鉄道,いすみ線,12,5,1,1,,226
東総元,いすみ鉄道,いすみ線,12,5,1,1,,3
上総中川,いすみ鉄道,いすみ線,12,5,1,1,,12
国吉,いすみ鉄道,いすみ線,12,5,1,1,,95
久我原,いすみ鉄道,いすみ線,12,5,1,1,,6
上総東,いすみ鉄道,いすみ線,12,5,1,1,,28
西畑,いすみ鉄道,いすみ線,12,5,1,1,,7
小谷松,いすみ鉄道,いすみ線,12,5,1,1,,3
総元,いすみ鉄道,いすみ線,12,5,1,1,,7
西大原,いすみ鉄道,いすみ線,12,5,1,1,,11
新田野,いすみ鉄道,いすみ線,12,5,1,1,,14
大原,いすみ鉄道,いすみ線,12,5,1,1,,281
西長田ゆりの里,えちぜん鉄道,三国芦原線,12,5,1,1,,328
鷲塚針原,えちぜん鉄道,三国芦原線,12,5,1,1,,277
西別院,えちぜん鉄道,三国芦原線,12,5,1,1,,295
中角,えちぜん鉄道,三国芦原線,12,5,1,1,,78
新田塚,えちぜん鉄道,三国芦原線,12,5,1,1,,519
番田,えちぜん鉄道,三国芦原線,12,5,1,1,,28
福井口,えちぜん鉄道,三国芦原線,12,5,1,1,,469
三国,えちぜん鉄道,三国芦原線,12,5,1,1,,692
太郎丸エンゼルランド,えちぜん鉄道,三国芦原線,12,5,1,1,,308
福大前西福井,えちぜん鉄道,三国芦原線,12,5,1,1,,1946
大関,えちぜん鉄道,三国芦原線,12,5,1,1,,126
三国神社,えちぜん鉄道,三国芦原線,12,5,1,1,,136
水居,えちぜん鉄道,三国芦原線,12,5,1,1,,56
あわら湯のまち,えちぜん鉄道,三国芦原線,12,5,1,1,,451
西春江ハートピア,えちぜん鉄道,三国芦原線,12,5,1,1,,264
田原町,えちぜん鉄道,三国芦原線,12,5,1,1,福井鉄道・福武線を含む,2527
下兵庫こうふく,えちぜん鉄道,三国芦原線,12,5,1,1,,131
三国港,えちぜん鉄道,三国芦原線,12,5,1,1,,282
本荘,えちぜん鉄道,三国芦原線,12,5,1,1,,122
志比堺,えちぜん鉄道,勝山永平寺線,12,5,1,1,,37
越前竹原,えちぜん鉄道,勝山永平寺線,12,5,1,1,,90
保田,えちぜん鉄道,勝山永平寺線,12,5,1,1,,14
山王,えちぜん鉄道,勝山永平寺線,12,5,1,1,,123
勝山,えちぜん鉄道,勝山永平寺線,12,5,1,1,,759
越前野中,えちぜん鉄道,勝山永平寺線,12,5,1,1,,45
松岡,えちぜん鉄道,勝山永平寺線,12,5,1,1,,363
発坂,えちぜん鉄道,勝山永平寺線,12,5,1,1,,116
光明寺,えちぜん鉄道,勝山永平寺線,12,5,1,1,,22
永平寺口,えちぜん鉄道,勝山永平寺線,12,5,1,1,,389
小舟渡,えちぜん鉄道,勝山永平寺線,12,5,1,1,,14
轟,えちぜん鉄道,勝山永平寺線,12,5,1,1,,80
下志比,えちぜん鉄道,勝山永平寺線,12,5,1,1,,80
比島,えちぜん鉄道,勝山永平寺線,12,5,1,1,,1
福井口,えちぜん鉄道,勝山永平寺線,12,5,2,1,,0
越前新保,えちぜん鉄道,勝山永平寺線,12,5,1,1,,474
越前開発,えちぜん鉄道,勝山永平寺線,12,5,1,1,,439
福井,えちぜん鉄道,勝山永平寺線,12,5,1,1,,6359
越前島橋,えちぜん鉄道,勝山永平寺線,12,5,1,1,,85
観音町,えちぜん鉄道,勝山永平寺線,12,5,1,1,,1106
東藤島,えちぜん鉄道,勝山永平寺線,12,5,1,1,,113
新福井,えちぜん鉄道,勝山永平寺線,12,5,1,1,,38
追分口,えちぜん鉄道,勝山永平寺線,12,5,1,1,,84
東多良木,くま川鉄道,湯前線,12,5,1,1,,51
一武,くま川鉄道,湯前線,12,5,1,1,,105
木上,くま川鉄道,湯前線,12,5,1,1,,11
公立病院前,くま川鉄道,湯前線,12,5,1,1,,21
多良木,くま川鉄道,湯前線,12,5,1,1,,277
あさぎり,くま川鉄道,湯前線,12,5,1,1,,762
湯前,くま川鉄道,湯前線,12,5,1,1,,373
新鶴羽,くま川鉄道,湯前線,12,5,1,1,,19
肥後西村,くま川鉄道,湯前線,12,5,1,1,,496
おかどめ幸福,くま川鉄道,湯前線,12,5,1,1,,155
東免田,くま川鉄道,湯前線,12,5,1,1,,48
相良藩願成寺,くま川鉄道,湯前線,12,5,1,1,,614
川村,くま川鉄道,湯前線,12,5,1,1,,6
人吉温泉,くま川鉄道,湯前線,12,5,1,1,,953
平原,しなの鉄道,しなの鉄道線,12,5,1,1,,178
屋代高校前,しなの鉄道,しなの鉄道線,12,5,1,1,,1961
中軽井沢,しなの鉄道,しなの鉄道線,12,5,1,1,,1395
御代田,しなの鉄道,しなの鉄道線,12,5,1,1,,1600
軽井沢,しなの鉄道,しなの鉄道線,12,5,1,1,,3015
信濃追分,しなの鉄道,しなの鉄道線,12,5,1,1,,492
田中,しなの鉄道,しなの鉄道線,12,5,1,1,,2301
上田,しなの鉄道,しなの鉄道線,12,5,1,1,,10337
西上田,しなの鉄道,しなの鉄道線,12,5,1,1,,1781
戸倉,しなの鉄道,しなの鉄道線,12,5,1,1,,2224
坂城,しなの鉄道,しなの鉄道線,12,5,1,1,,1591
信濃国分寺,しなの鉄道,しなの鉄道線,12,5,1,1,,1111
大屋,しなの鉄道,しなの鉄道線,12,5,1,1,,1708
滋野,しなの鉄道,しなの鉄道線,12,5,1,1,,781
屋代,しなの鉄道,しなの鉄道線,12,5,1,1,,4265
テクノさかき,しなの鉄道,しなの鉄道線,12,5,1,1,,917
小諸,しなの鉄道,しなの鉄道線,12,5,1,1,,0
篠ノ井,しなの鉄道,しなの鉄道線,12,5,1,1,,0
みどり中街,スカイレールサービス,広島短距離交通瀬野線,22,4,1,1,,206
みどり中央,スカイレールサービス,広島短距離交通瀬野線,22,4,1,1,,916
みどり口,スカイレールサービス,広島短距離交通瀬野線,22,4,1,1,,1105
和倉温泉,のと鉄道,七尾線,12,5,1,1,,0
七尾,のと鉄道,七尾線,12,5,1,1,,0
笠師保,のと鉄道,七尾線,12,5,1,1,,30
田鶴浜,のと鉄道,七尾線,12,5,1,1,,197
西岸,のと鉄道,七尾線,12,5,1,1,,24
穴水,のと鉄道,七尾線,12,5,1,1,,113
能登中島,のと鉄道,七尾線,12,5,1,1,,115
能登鹿島,のと鉄道,七尾線,12,5,1,1,,4
桐生,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,0
花輪,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,45
水沼,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,98
神戸,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,190
相老,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,東武鉄道・桐生線を含む,1361
通洞,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,47
上神梅,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,27
間藤,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,155
足尾,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,47
運動公園,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,68
小中,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,14
本宿,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,24
大間々,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,461
沢入,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,29
下新田,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,56
原向,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,2
中野,わたらせ渓谷鐵道,わたらせ渓谷線,12,5,1,1,,4
海部,阿佐海岸鉄道,阿佐東線,12,5,2,1,,0
宍喰,阿佐海岸鉄道,阿佐東線,12,5,1,1,,21
甲浦,阿佐海岸鉄道,阿佐東線,12,5,1,1,,35
福島,阿武隈急行,阿武隈急行線,12,5,1,1,,3764
角田,阿武隈急行,阿武隈急行線,12,5,1,1,,1054
南角田,阿武隈急行,阿武隈急行線,12,5,1,1,,19
大泉,阿武隈急行,阿武隈急行線,12,5,1,1,,480
保原,阿武隈急行,阿武隈急行線,12,5,1,1,,1007
卸町,阿武隈急行,阿武隈急行線,12,5,1,1,,620
高子,阿武隈急行,阿武隈急行線,12,5,1,1,,115
瀬上,阿武隈急行,阿武隈急行線,12,5,1,1,,342
兜,阿武隈急行,阿武隈急行線,12,5,1,1,,1
岡,阿武隈急行,阿武隈急行線,12,5,1,1,,93
上保原,阿武隈急行,阿武隈急行線,12,5,1,1,,397
二井田,阿武隈急行,阿武隈急行線,12,5,1,1,,60
北丸森,阿武隈急行,阿武隈急行線,12,5,1,1,,19
丸森,阿武隈急行,阿武隈急行線,12,5,1,1,,316
槻木,阿武隈急行,阿武隈急行線,12,5,1,1,,949
横倉,阿武隈急行,阿武隈急行線,12,5,1,1,,24
富野,阿武隈急行,阿武隈急行線,12,5,1,1,,34
東船岡,阿武隈急行,阿武隈急行線,12,5,1,1,,152
梁川,阿武隈急行,阿武隈急行線,12,5,1,1,,446
福島学院前,阿武隈急行,阿武隈急行線,12,5,1,1,,658
向瀬上,阿武隈急行,阿武隈急行線,12,5,1,1,,45
新田,阿武隈急行,阿武隈急行線,12,5,1,1,,239
やながわ希望の森公園前,阿武隈急行,阿武隈急行線,12,5,1,1,,310
あぶくま,阿武隈急行,阿武隈急行線,12,5,1,1,,5
新豊田,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,15694
保見,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,1333
山口,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,1965
大門,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,2858
高蔵寺,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,0
永覚,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,628
新上挙母,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,1639
八草,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,6344
末野原,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,2567
瀬戸市,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,6357
三河上郷,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,2075
北野桝塚,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,2394
中水野,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,3340
三河豊田,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,14917
篠原,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,294
瀬戸口,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,4242
愛環梅坪,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,1932
四郷,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,1454
貝津,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,1228
北岡崎,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,3714
岡崎,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,0
中岡崎,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,4159
六名,愛知環状鉄道,愛知環状鉄道線,12,5,1,1,,1619
杁ヶ池公園,愛知高速交通,東部丘陵線,25,5,1,1,,3107
陶磁資料館南,愛知高速交通,東部丘陵線,25,5,1,1,,281
公園西,愛知高速交通,東部丘陵線,25,5,1,1,,2512
愛・地球博記念公園,愛知高速交通,東部丘陵線,25,5,1,1,,4739
芸大通,愛知高速交通,東部丘陵線,25,5,1,1,,2040
長久手古戦場,愛知高速交通,東部丘陵線,25,5,1,1,,6809
はなみずき通,愛知高速交通,東部丘陵線,25,5,1,1,,2884
八草,愛知高速交通,東部丘陵線,25,5,1,1,,7767
藤が丘,愛知高速交通,東部丘陵線,25,5,1,1,,20266
多宝塔,鞍馬寺,鞍馬山鋼索鉄道,13,4,1,1,,732
山門,鞍馬寺,鞍馬山鋼索鉄道,13,4,1,1,,732
河芸,伊勢鉄道,伊勢線,12,5,1,1,,99
伊勢上野,伊勢鉄道,伊勢線,12,5,1,1,,140
鈴鹿サーキット稲生,伊勢鉄道,伊勢線,12,5,1,1,,237
中瀬古,伊勢鉄道,伊勢線,12,5,1,1,,285
鈴鹿,伊勢鉄道,伊勢線,12,5,1,1,,574
玉垣,伊勢鉄道,伊勢線,12,5,1,1,,471
徳田,伊勢鉄道,伊勢線,12,5,1,1,,39
河原田,伊勢鉄道,伊勢線,12,5,1,1,,0
東一身田,伊勢鉄道,伊勢線,12,5,1,1,,141
津,伊勢鉄道,伊勢線,12,5,1,1,,0
稲梓,伊豆急行,伊豆急行線,12,4,1,1,,53
伊豆熱川,伊豆急行,伊豆急行線,12,4,1,1,,1095
蓮台寺,伊豆急行,伊豆急行線,12,4,1,1,,700
片瀬白田,伊豆急行,伊豆急行線,12,4,1,1,,418
河津,伊豆急行,伊豆急行線,12,4,1,1,,1477
伊豆北川,伊豆急行,伊豆急行線,12,4,1,1,,68
伊豆急下田,伊豆急行,伊豆急行線,12,4,1,1,,3576
南伊東,伊豆急行,伊豆急行線,12,4,1,1,,1197
今井浜海岸,伊豆急行,伊豆急行線,12,4,1,1,,293
富戸,伊豆急行,伊豆急行線,12,4,1,1,,378
城ヶ崎海岸,伊豆急行,伊豆急行線,12,4,1,1,,746
伊豆高原,伊豆急行,伊豆急行線,12,4,1,1,,2988
伊豆稲取,伊豆急行,伊豆急行線,12,4,1,1,,1409
伊豆大川,伊豆急行,伊豆急行線,12,4,1,1,,265
伊東,伊豆急行,伊豆急行線,12,4,1,1,,0
川奈,伊豆急行,伊豆急行線,12,4,1,1,,1436
十国登り口,伊豆箱根鉄道,十国鋼索線,13,4,1,1,,433
十国峠,伊豆箱根鉄道,十国鋼索線,13,4,1,1,,433
修善寺,伊豆箱根鉄道,駿豆線,12,4,1,1,,4580
三島,伊豆箱根鉄道,駿豆線,12,4,1,1,,16899
大仁,伊豆箱根鉄道,駿豆線,12,4,1,1,,2401
韮山,伊豆箱根鉄道,駿豆線,12,4,1,1,,2926
牧之郷,伊豆箱根鉄道,駿豆線,12,4,1,1,,428
伊豆長岡,伊豆箱根鉄道,駿豆線,12,4,1,1,,4807
三島二日町,伊豆箱根鉄道,駿豆線,12,4,1,1,,2924
原木,伊豆箱根鉄道,駿豆線,12,4,1,1,,687
大場,伊豆箱根鉄道,駿豆線,12,4,1,1,,4911
三島田町,伊豆箱根鉄道,駿豆線,12,4,1,1,,2650
田京,伊豆箱根鉄道,駿豆線,12,4,1,1,,2580
伊豆仁田,伊豆箱根鉄道,駿豆線,12,4,1,1,,3193
三島広小路,伊豆箱根鉄道,駿豆線,12,4,1,1,,3806
穴部,伊豆箱根鉄道,大雄山線,12,4,1,1,,1355
和田河原,伊豆箱根鉄道,大雄山線,12,4,1,1,,3065
小田原,伊豆箱根鉄道,大雄山線,12,4,1,1,,17017
岩原,伊豆箱根鉄道,大雄山線,12,4,1,1,,1493
大雄山,伊豆箱根鉄道,大雄山線,12,4,1,1,,4986
井細田,伊豆箱根鉄道,大雄山線,12,4,1,1,,3481
緑町,伊豆箱根鉄道,大雄山線,12,4,1,1,,516
相模沼田,伊豆箱根鉄道,大雄山線,12,4,1,1,,2900
五百羅漢,伊豆箱根鉄道,大雄山線,12,4,1,1,,1442
塚原,伊豆箱根鉄道,大雄山線,12,4,1,1,,2240
飯田岡,伊豆箱根鉄道,大雄山線,12,4,1,1,,1768
富士フイルム前,伊豆箱根鉄道,大雄山線,12,4,1,1,,1309
いよ立花,伊予鉄道,横河原線,12,4,1,1,,2246
久米,伊予鉄道,横河原線,12,4,1,1,,2787
福音寺,伊予鉄道,横河原線,12,4,1,1,,1698
横河原,伊予鉄道,横河原線,12,4,1,1,,1338
牛渕,伊予鉄道,横河原線,12,4,1,1,,237
愛大医学部南口,伊予鉄道,横河原線,12,4,1,1,,1316
牛渕団地前,伊予鉄道,横河原線,12,4,1,1,,876
平井,伊予鉄道,横河原線,12,4,1,1,,981
田窪,伊予鉄道,横河原線,12,4,1,1,,797
鷹ノ子,伊予鉄道,横河原線,12,4,1,1,,1072
松山市,伊予鉄道,横河原線,12,4,2,1,,0
石手川公園,伊予鉄道,横河原線,12,4,1,1,,481
北久米,伊予鉄道,横河原線,12,4,1,1,,1269
見奈良,伊予鉄道,横河原線,12,4,1,1,,645
梅本,伊予鉄道,横河原線,12,4,1,1,,1597
南堀端,伊予鉄道,花園線,21,4,2,1,,0
松山市駅,伊予鉄道,花園線,21,4,1,1,,8012
松山市,伊予鉄道,郡中線,12,4,2,1,,0
余戸,伊予鉄道,郡中線,12,4,1,1,,2496
土橋,伊予鉄道,郡中線,12,4,1,1,,989
岡田,伊予鉄道,郡中線,12,4,1,1,,970
鎌田,伊予鉄道,郡中線,12,4,1,1,,1098
古泉,伊予鉄道,郡中線,12,4,1,1,,2346
土居田,伊予鉄道,郡中線,12,4,1,1,,2429
松前,伊予鉄道,郡中線,12,4,1,1,,1039
地蔵町,伊予鉄道,郡中線,12,4,1,1,,559
郡中,伊予鉄道,郡中線,12,4,1,1,,1032
郡中港,伊予鉄道,郡中線,12,4,1,1,,1017
新川,伊予鉄道,郡中線,12,4,1,1,,690
古町,伊予鉄道,高浜線,12,4,1,1,,4891
松山市,伊予鉄道,高浜線,12,4,1,1,,19707
大手町,伊予鉄道,高浜線,12,4,1,1,,2823
西衣山,伊予鉄道,高浜線,12,4,1,1,,1272
衣山,伊予鉄道,高浜線,12,4,1,1,,2251
三津,伊予鉄道,高浜線,12,4,1,1,,2007
山西,伊予鉄道,高浜線,12,4,1,1,,2346
梅津寺,伊予鉄道,高浜線,12,4,1,1,,337
高浜,伊予鉄道,高浜線,12,4,1,1,,1187
港山,伊予鉄道,高浜線,12,4,1,1,,321
本町一丁目,伊予鉄道,城南線,21,4,2,1,,0
市役所前,伊予鉄道,城南線,21,4,1,1,,791
南町,伊予鉄道,城南線,21,4,1,1,,1106
大街道,伊予鉄道,城南線,21,4,1,1,,5189
道後温泉,伊予鉄道,城南線,21,4,1,1,,3079
勝山町,伊予鉄道,城南線,21,4,1,1,,1638
南堀端,伊予鉄道,城南線,21,4,1,1,,688
上一万,伊予鉄道,城南線,21,4,1,1,,1517
道後公園,伊予鉄道,城南線,21,4,1,1,,715
平和通一丁目,伊予鉄道,城南線,21,4,2,1,,0
警察署前,伊予鉄道,城南線,21,4,1,1,,1026
県庁前,伊予鉄道,城南線,21,4,1,1,,893
平和通一丁目,伊予鉄道,城北線,12,4,1,1,,338
木屋町,伊予鉄道,城北線,12,4,1,1,,646
鉄砲町,伊予鉄道,城北線,12,4,1,1,,738
高砂町,伊予鉄道,城北線,12,4,1,1,,316
萱町六丁目,伊予鉄道,城北線,12,4,1,1,,369
古町,伊予鉄道,城北線,12,4,2,1,,0
赤十字病院前,伊予鉄道,城北線,12,4,1,1,,1486
清水町,伊予鉄道,城北線,12,4,1,1,,441
本町六丁目,伊予鉄道,城北線,12,4,1,1,,981
古町,伊予鉄道,大手町線,21,4,2,1,,0
大手町駅前,伊予鉄道,大手町線,21,4,1,1,,555
ＪＲ松山駅前,伊予鉄道,大手町線,21,4,1,1,,3961
宮田町,伊予鉄道,大手町線,21,4,1,1,,912
西堀端,伊予鉄道,大手町線,21,4,1,1,伊予鉄道・本町線（本町一丁目）を含む,532
本町一丁目,伊予鉄道,本町線,21,4,2,1,,0
本町五丁目,伊予鉄道,本町線,21,4,1,1,,76
本町四丁目,伊予鉄道,本町線,21,4,1,1,,72
本町六丁目,伊予鉄道,本町線,21,4,1,1,,981
本町三丁目,伊予鉄道,本町線,21,4,1,1,,76
総社,井原鉄道,井原線,12,5,1,1,,202
清音,井原鉄道,井原線,12,5,1,1,,1424
神辺,井原鉄道,井原線,12,5,1,1,,503
御領,井原鉄道,井原線,12,5,1,1,,93
いずえ,井原鉄道,井原線,12,5,1,1,,56
吉備真備,井原鉄道,井原線,12,5,1,1,,514
備中呉妹,井原鉄道,井原線,12,5,1,1,,87
小田,井原鉄道,井原線,12,5,1,1,,100
矢掛,井原鉄道,井原線,12,5,1,1,,733
湯野,井原鉄道,井原線,12,5,1,1,,132
子守唄の里高屋,井原鉄道,井原線,12,5,1,1,,192
三谷,井原鉄道,井原線,12,5,1,1,,65
井原,井原鉄道,井原線,12,5,1,1,,801
早雲の里荏原,井原鉄道,井原線,12,5,1,1,,209
川辺宿,井原鉄道,井原線,12,5,1,1,,189
川跡,一畑電車,大社線,12,4,2,1,,0
遥堪,一畑電車,大社線,12,4,1,1,,43
高浜,一畑電車,大社線,12,4,1,1,,125
浜山公園北口,一畑電車,大社線,12,4,1,1,,194
出雲大社前,一畑電車,大社線,12,4,1,1,,803
旅伏,一畑電車,北松江線,12,4,1,1,,145
伊野灘,一畑電車,北松江線,12,4,1,1,,57
松江フォーゲルパーク,一畑電車,北松江線,12,4,1,1,,62
園,一畑電車,北松江線,12,4,1,1,,60
湖遊館新駅,一畑電車,北松江線,12,4,1,1,,31
川跡,一畑電車,北松江線,12,4,1,1,,435
朝日ヶ丘,一畑電車,北松江線,12,4,1,1,,182
長江,一畑電車,北松江線,12,4,1,1,,49
布崎,一畑電車,北松江線,12,4,1,1,,131
松江しんじ湖温泉,一畑電車,北松江線,12,4,1,1,,1848
大津町,一畑電車,北松江線,12,4,1,1,,298
高ノ宮,一畑電車,北松江線,12,4,1,1,,24
松江イングリッシュガーデン前,一畑電車,北松江線,12,4,1,1,,110
武志,一畑電車,北松江線,12,4,1,1,,73
美談,一畑電車,北松江線,12,4,1,1,,34
雲州平田,一畑電車,北松江線,12,4,1,1,,1184
出雲科学館パークタウン前,一畑電車,北松江線,12,4,1,1,,43
大寺,一畑電車,北松江線,12,4,1,1,,17
秋鹿町,一畑電車,北松江線,12,4,1,1,,171
一畑口,一畑電車,北松江線,12,4,1,1,,103
津ノ森,一畑電車,北松江線,12,4,1,1,,195
電鉄出雲市,一畑電車,北松江線,12,4,1,1,,1526
木野,叡山電鉄,鞍馬線,12,4,1,1,,393
市原,叡山電鉄,鞍馬線,12,4,1,1,,766
八幡前,叡山電鉄,鞍馬線,12,4,1,1,,625
岩倉,叡山電鉄,鞍馬線,12,4,1,1,,1284
京都精華大前,叡山電鉄,鞍馬線,12,4,1,1,,1069
