都道府県名,都道府県・市区町村名,都道府県・市区町村名（英語）,市などの別,総数（人）,男（人）,女（人）,2015年（平成27年）の人口（組替）（人）,5年間の人口増減数（人）,5年間の人口増減率（％）,面積（参考）（km2）,人口密度（人/km2）,平均年齢（歳）,年齢中位数（歳）,年齢別人口（男女「総数」）15歳未満（人）,年齢別人口（男女「総数」）15～64歳（人）,年齢別人口（男女「総数」）65歳以上（人）,人口構成比［年齢別］(男女「総数」）15歳未満（％）,人口構成比［年齢別］(男女「総数」）15～64歳（％）,人口構成比［年齢別］(男女「総数」）65歳以上（％）,年齢別人口（男）15歳未満（人）,年齢別人口（男）15～64歳（人）,年齢別人口（男）65歳以上（人）,人口構成比［年齢別］(男）15歳未満（％）,人口構成比［年齢別］(男）15～64歳（％）,人口構成比［年齢別］(男）65歳以上（％）,年齢別人口（女）15歳未満（人）,年齢別人口（女）15～64歳（人）,年齢別人口（女）65歳以上（人）,人口構成比［年齢別］(女）15歳未満（％）,人口構成比［年齢別］(女）15～64歳（％）,人口構成比［年齢別］(女）65歳以上（％）,人口性比（％）,日本人（人）,外国人（人）,総世帯（世帯）,一般世帯（世帯）,施設等の世帯（世帯）,2015年（平成27年）の世帯数（組替）（世帯）,一般世帯（世帯）,核家族世帯（世帯）,夫婦のみの世帯（世帯）,夫婦と子供から成る世帯（世帯）,男親と子供から成る世帯（世帯）,女親と子供から成る世帯（世帯）,単独世帯（世帯）,65歳以上の単独世帯（世帯）,夫65歳以上，妻60歳以上の夫婦のみの世帯（世帯）,3世代世帯（世帯）
01_北海道,01110_札幌市清田区,Sapporo-shi Kiyota-ku,0,112355,52952,59403,115726,-3371,-2.91291,59.87,1876.6,48.80621,51.12081,14278,63670,34407,12.70793,56.6686,30.62347,7420,30489,15043,14.01269,57.57856,28.40875,6858,33181,19364,11.54487,55.85745,32.59768,89.14028,111741,614,45634,45524,110,45006,45524,31247,12614,14002,654,3977,11626,5189,7833,1242
01_北海道,01202_函館市,Hakodate-shi,2,251084,113965,137119,265979,-14895,-5.60007,677.87,370.4,51.96637,54.4573,23646,137038,90400,9.41757,54.57855,36.00389,12037,66193,35735,10.56201,58.08187,31.35612,11609,70845,54665,8.46637,51.6668,39.86683,83.11394,249977,1107,121793,121455,338,123950,121455,62606,27835,21934,1454,11383,50901,22337,16719,3171
01_北海道,01203_小樽市,Otaru-shi,2,111299,50136,61163,121924,-10625,-8.71445,243.83,456.5,54.49005,58.33659,9182,56310,45807,8.24985,50.59345,41.1567,4685,27238,18213,9.34458,54.32823,36.32719,4497,29072,27594,7.35248,47.532,45.11551,81.97113,110692,607,52817,52615,202,55466,52615,28930,13061,9960,717,5192,20657,11095,8822,1291
01_北海道,01204_旭川市,Asahikawa-shi,2,329306,152108,177198,339605,-10299,-3.03264,747.66,440.4,50.92419,52.97622,34758,180663,113885,10.55492,54.86174,34.58334,17835,86951,47322,11.72522,57.16399,31.11079,16923,93712,66563,9.55033,52.88547,37.56419,85.8407,328153,1153,156195,155625,570,155747,155625,86206,39136,31575,1859,13636,61540,24821,24072,3197
01_北海道,01205_室蘭市,Muroran-shi,2,82383,40390,41993,88564,-6181,-6.97913,81.01,1016.9,51.44458,53.72228,7769,44065,30549,9.43034,53.48798,37.08168,3916,23793,12681,9.69547,58.90815,31.39639,3853,20272,17868,9.17534,48.27471,42.54995,96.1827,81975,408,41766,41660,106,43616,41660,20845,9895,7430,461,3059,18890,7410,6481,839
01_北海道,01206_釧路市,Kushiro-shi,2,165077,77506,87571,174742,-9665,-5.53101,1363.29,121.1,50.87705,53.17468,16641,91703,56733,10.08075,55.55165,34.3676,8499,45427,23580,10.9656,58.61095,30.42345,8142,46276,33153,9.2976,52.84398,37.85842,88.50647,164204,873,80349,80095,254,82078,80095,42053,19062,14908,1081,7002,33385,13290,11513,1924
01_北海道,01207_帯広市,Obihiro-shi,2,166536,79623,86913,169327,-2791,-1.64829,619.34,268.9,48.45335,49.6352,19076,98086,49374,11.45458,58.89778,29.64764,9762,49058,20803,12.26028,61.61285,26.12687,9314,49028,28571,10.71646,56.41043,32.8731,91.6123,165814,722,80175,79933,242,77707,79933,42007,18609,16220,966,6212,33848,11065,10492,1697
01_北海道,01208_北見市,Kitami-shi,2,115480,54729,60751,121226,-5746,-4.73991,1427.41,80.9,50.74412,52.80586,12017,64340,39123,10.40613,55.71528,33.87859,6173,32271,16285,11.27921,58.96508,29.75571,5844,32069,22838,9.61959,52.78761,37.5928,90.08741,115055,425,55188,55024,164,56202,55024,29872,13795,10857,727,4493,21801,7846,8404,1466
01_北海道,01209_夕張市,Yubari-shi,2,7334,3381,3953,8843,-1509,-17.06434,763.07,9.6,60.70194,66.15,411,3095,3828,5.60404,42.20071,52.19525,199,1611,1571,5.88583,47.64862,46.46554,212,1484,2257,5.36302,37.54111,57.09588,85.52998,7247,87,3807,3790,17,4539,3790,1811,1014,460,58,279,1766,1095,735,87
01_北海道,01210_岩見沢市,Iwamizawa-shi,2,79306,37105,42201,84499,-5193,-6.14563,481.02,164.9,52.12406,55.45404,7859,42526,28921,9.90972,53.62268,36.46761,3961,21065,12079,10.67511,56.77132,32.55356,3898,21461,16842,9.23675,50.85425,39.90901,87.92446,79110,196,35584,35476,108,36155,35476,20315,9081,7573,553,3108,12581,6056,5774,1287
01_北海道,01211_網走市,Abashiri-shi,2,35759,18060,17699,39077,-3318,-8.49093,471,75.9,49.26873,50.78992,3731,20739,11289,10.43374,57.99659,31.56967,1932,11290,4838,10.69767,62.51384,26.78848,1799,9449,6451,10.16442,53.3872,36.44839,102.03966,35438,321,17253,17193,60,18035,17193,8505,4052,3038,192,1223,7618,2383,2386,559
